;brain ID;slice ID;DS_biratu;lesionSize_x;DS_sw_mean;lesionSize_y;DS_sw_blob;lesionSize;diff_swmean;diff_swblob;diff_sw
0;0;31;0.0;;0.0;tiny;0.0;tiny;0.0;0.0;0.0
1;0;32;0.0;;0.746268656716418;tiny;0.746268656716418;tiny;-0.746268656716418;-0.746268656716418;0.0
2;0;33;0.0;;0.7338935574229691;tiny;0.7338935574229691;tiny;-0.7338935574229691;-0.7338935574229691;0.0
3;0;34;0.0;;0.7702182284980744;tiny;0.7702182284980744;tiny;-0.7702182284980744;-0.7702182284980744;0.0
4;0;35;0.0;;0.8552971576227391;tiny;0.8552971576227391;tiny;-0.8552971576227391;-0.8552971576227391;0.0
5;0;36;0.0;;0.909853249475891;tiny;0.909853249475891;tiny;-0.909853249475891;-0.909853249475891;0.0
6;0;37;0.0;;0.936685288640596;tiny;0.936685288640596;tiny;-0.936685288640596;-0.936685288640596;0.0
7;0;38;0.0;;0.9377104377104376;small;0.9377104377104376;small;-0.9377104377104376;-0.9377104377104376;0.0
8;0;39;0.9542902967121092;small;0.9478672985781992;small;0.9478672985781992;small;0.006422998133910007;0.006422998133910007;0.0
9;0;40;0.9385113268608414;small;0.950920245398773;small;0.950920245398773;small;-0.01240891853793158;-0.01240891853793158;0.0
10;0;41;0.8939283101682517;small;0.8799403430275914;small;0.8799403430275914;small;0.013987967140660307;0.013987967140660307;0.0
11;0;42;0.9242675511332228;small;0.9242675511332228;small;0.9242675511332228;small;0.0;0.0;0.0
12;0;43;0.9445488721804512;small;0.9560927479033052;small;0.9560927479033052;small;-0.01154387572285398;-0.01154387572285398;0.0
13;0;44;0.95481515289822;small;0.9432654828930273;small;0.9432654828930273;small;0.011549670005192803;0.011549670005192803;0.0
14;0;45;0.9579087284005317;small;0.9157303370786516;small;0.9157303370786516;small;0.04217839132188006;0.04217839132188006;0.0
15;0;46;0.953105196451204;small;0.9028156221616712;small;0.9028156221616712;small;0.050289574289532735;0.050289574289532735;0.0
16;0;47;0.8987595038015206;medium;0.9083759339362956;medium;0.9083759339362956;medium;-0.009616430134774978;-0.009616430134774978;0.0
17;0;48;0.8978960396039604;medium;0.8789727126805779;medium;0.8789727126805779;medium;0.0189233269233825;0.0189233269233825;0.0
18;0;49;0.8198757763975155;medium;0.9168927250308262;medium;0.9168927250308262;medium;-0.09701694863331067;-0.09701694863331067;0.0
19;0;50;0.8404339772426568;medium;0.8135685210312076;medium;0.8135685210312076;medium;0.0268654562114492;0.0268654562114492;0.0
20;0;51;0.8880562060889929;medium;0.8845605700712589;medium;0.8845605700712589;medium;0.0034956360177340606;0.0034956360177340606;0.0
21;0;52;0.8595277844025757;large;0.8845462713387242;large;0.8845462713387242;large;-0.0250184869361485;-0.0250184869361485;0.0
22;0;53;0.8419196865817825;large;0.8412698412698413;large;0.8412698412698413;large;0.0006498453119412329;0.0006498453119412329;0.0
23;0;54;0.8640483383685801;large;0.8658473256015233;large;0.8658473256015233;large;-0.00179898723294325;-0.00179898723294325;0.0
24;0;55;0.8870686650400836;large;0.8944242824150446;large;0.8944242824150446;large;-0.007355617374960932;-0.007355617374960932;0.0
25;0;56;0.8877732793522267;large;0.8608648453048671;large;0.8608648453048671;large;0.026908434047359653;0.026908434047359653;0.0
26;0;57;0.882940108892922;large;0.884127528282482;large;0.884127528282482;large;-0.0011874193895600182;-0.0011874193895600182;0.0
27;0;58;0.882494004796163;huge;0.8898528272656855;huge;0.8898528272656855;huge;-0.0073588224695224635;-0.0073588224695224635;0.0
28;0;59;0.8770161290322581;huge;0.8945746818486269;huge;0.8945746818486269;huge;-0.017558552816368755;-0.017558552816368755;0.0
29;0;60;0.892896174863388;huge;0.8992834933080979;huge;0.8992834933080979;huge;-0.006387318444709855;-0.006387318444709855;0.0
30;0;61;0.913096996553422;huge;0.887344647868502;huge;0.887344647868502;huge;0.025752348684920046;0.025752348684920046;0.0
31;0;62;0.8644590427671269;huge;0.8103815061693377;huge;0.8103815061693377;huge;0.054077536597789244;0.054077536597789244;0.0
32;0;63;0.8564258354246467;huge;0.7857142857142857;huge;0.7857142857142857;huge;0.07071154971036098;0.07071154971036098;0.0
33;0;64;0.8421052631578947;huge;0.7951397961850013;huge;0.7951397961850013;huge;0.04696546697289339;0.04696546697289339;0.0
34;0;65;0.8648586266589728;huge;0.8034988296168535;huge;0.8034988296168535;huge;0.06135979704211936;0.06135979704211936;0.0
35;0;66;0.8494831307508803;huge;0.8315204813700532;huge;0.8315204813700532;huge;0.017962649380827145;0.017962649380827145;0.0
36;0;67;0.9166140240050537;huge;0.8919830305667356;huge;0.8919830305667356;huge;0.024630993438318094;0.024630993438318094;0.0
37;0;68;0.8875027358284089;huge;0.8593679458239277;huge;0.8593679458239277;huge;0.02813479000448116;0.02813479000448116;0.0
38;0;69;0.8476365305185866;huge;0.8017200191113235;huge;0.8017200191113235;huge;0.04591651140726305;0.04591651140726305;0.0
39;0;70;0.8571428571428571;huge;0.8668242710795903;huge;0.8668242710795903;huge;-0.009681413936733163;-0.009681413936733163;0.0
40;0;71;0.8854307622913847;huge;0.7872;huge;0.7872;huge;0.09823076229138472;0.09823076229138472;0.0
41;0;72;0.8988309352517986;huge;0.7928084314941104;huge;0.7928084314941104;huge;0.10602250375768818;0.10602250375768818;0.0
42;0;73;0.8639714625445898;huge;0.8396352583586626;huge;0.8396352583586626;huge;0.02433620418592719;0.02433620418592719;0.0
43;0;74;0.898227969348659;huge;0.8330153885285514;huge;0.8330153885285514;huge;0.06521258082010761;0.06521258082010761;0.0
