;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 74;0.1569377990430622;1.0;10.74390243902439;0.08515057113187954;1.0;0.8825568219689396;0.8838267290828773;0.08515057113187954;0.11744317803106046;0.0;0.1161732709171227;10.74390243902439;0.1161732709171227;10.74390243902439;0.03059027777777778;15.144165793471828;9.348937826902013;-39.69160128702245
layer: 75;0.43926247288503256;1.0;2.5530864197530865;0.28144544822793605;1.0;0.9303516098612421;0.9322011671365812;0.28144544822793605;0.06964839013875791;0.0;0.0677988328634188;2.5530864197530865;0.0677988328634188;2.5530864197530865;0.017951388888888888;17.459019446652885;11.687777823178882;-37.71208682051865
layer: 76;0.6980392156862745;1.0;0.8651685393258427;0.536144578313253;1.0;0.968707667298835;0.9697999738527913;0.536144578313253;0.03129233270116499;0.0;0.030200026147208785;0.8651685393258427;0.030200026147208785;0.8651685393258427;0.008020833333333333;20.957805078670866;15.199926810301482;-34.8773349990963
layer: 77;0.3044090056285178;1.0;4.570107858243452;0.17952973720608575;1.0;0.7978462377317339;0.8064095032961295;0.17952973720608575;0.2021537622682661;0.0;0.19359049670387052;4.570107858243452;0.19359049670387052;4.570107858243452;0.051493055555555556;12.882513367308487;7.131159658828392;-41.44379908840377
layer: 78;0.5225998020455296;1.0;1.827020202020202;0.3537293434569004;1.0;0.9004608928939947;0.905603757583665;0.3537293434569004;0.09953910710600536;0.0;0.09439624241633505;1.827020202020202;0.09439624241633505;1.827020202020202;0.025121527777777777;15.999539523041745;10.25045293099501;-38.69756437911186
layer: 79;0.8486646884272997;0.7447916666666666;0.010416666666666666;0.7371134020618557;0.7447916666666666;0.9993037666225719;0.983358350192521;0.7371134020618557;0.0006962333774281139;0.2552083333333333;0.016641649807478953;0.24479166666666666;-0.015336422371598251;0.24479166666666666;-0.004079861111111111;23.53882302989257;17.788036211482336;-32.99159196706586
layer: 80;0.9331352154531947;0.8861712135465664;0.01317027281279398;0.8746518105849582;0.8861712135465664;0.9990183704950217;0.9911908646003262;0.8746518105849582;0.000981629504978264;0.11382878645343368;0.008809135399673736;0.1006585136406397;-0.00698205546492659;0.1006585136406397;-0.001857638888888889;26.300887149282058;20.550667146954464;-30.100958570107316
layer: 81;0.9016321129245699;0.8235294117647058;0.0032232070910556;0.8208835341365461;0.8235294117647058;0.9997158081705151;0.9854400626795508;0.8208835341365461;0.0002841918294849023;0.17647058823529413;0.014559937320449204;0.17324738114423852;-0.014037607730477932;0.17324738114423852;-0.003732638888888889;24.12117620375051;18.368404946274893;-32.14376281106241
layer: 82;0.7760479041916167;0.6340508806262231;0.0;0.6340508806262231;0.6340508806262231;1.0;0.9633117520109868;0.6340508806262231;0.0;0.3659491193737769;0.03668824798901314;0.3659491193737769;-0.03668824798901314;0.3659491193737769;-0.009739583333333333;20.114596221670507;14.354730270522092;-36.84154050023253
layer: 83;0.9609507640067911;0.9769850402761795;0.05638665132336018;0.9248366013071896;0.9769850402761795;0.9927546946621322;0.9909591194968553;0.9248366013071896;0.00724530533786781;0.023014959723820484;0.009040880503144654;0.0333716915995397;0.00379979035639413;0.0333716915995397;0.0010069444444444444;26.205433970219755;20.43789270958783;-30.32463004232675
layer: 84;0.9760845383759733;0.9626988480526605;0.009873834339001646;0.9532862574687669;0.9626988480526605;0.9986554119668335;0.9943458251150559;0.9532862574687669;0.0013445880331665048;0.03730115194733955;0.005654174884944116;0.027427317608337904;-0.003287310979618672;0.027427317608337904;-0.0008680555555555555;28.259240321796444;22.476307628094307;-28.465095016994795
layer: 85;0.9502487562189055;0.9056902002107482;0.0005268703898840885;0.9052132701421801;0.9056902002107482;0.9999245169082126;0.9881156741053744;0.9052132701421801;7.548309178743961e-05;0.09430979978925184;0.011884325894625644;0.09378292939936776;-0.011752277829129803;0.09378292939936776;-0.0030902777777777777;25.05149978319906;19.25025447385288;-31.982051179766145
layer: 86;0.925061762283832;0.8605720122574055;0.0;0.8605720122574055;0.8605720122574055;1.0;0.9818977521384523;0.8605720122574055;0.0;0.1394279877425945;0.018102247861547644;0.1394279877425945;-0.018102247861547644;0.1394279877425945;-0.0047395833333333335;23.24259836382456;17.422674929069817;-34.20158503149361
layer: 87;0.8909090909090909;0.8032786885245902;0.0;0.8032786885245902;0.8032786885245902;1.0;0.9728470650871822;0.8032786885245902;0.0;0.19672131147540983;0.027152934912817783;0.19672131147540983;-0.027152934912817783;0.19672131147540983;-0.007083333333333333;21.497623203333323;15.661832214138588;-36.00155188039843
layer: 88;0.8593872741555381;0.7534435261707989;0.0;0.7534435261707989;0.7534435261707989;1.0;0.9640706543556804;0.7534435261707989;0.0;0.2465564738292011;0.03592934564431955;0.2465564738292011;-0.03592934564431955;0.2465564738292011;-0.009322916666666667;20.304481977236563;14.445506922205947;-37.372637462791914
layer: 89;0.8056537102473498;0.6745562130177515;0.0;0.6745562130177515;0.6745562130177515;1.0;0.9482248520710059;0.6745562130177515;0.0;0.3254437869822485;0.051775147928994084;0.3254437869822485;-0.051775147928994084;0.3254437869822485;-0.013368055555555555;18.7393175825073;12.858786515913604;-39.1000033043329
layer: 90;0.7845674574646537;0.6455047318611987;0.0;0.6455047318611987;0.6455047318611987;1.0;0.939203354297694;0.6455047318611987;0.0;0.3544952681388013;0.06079664570230608;0.3544952681388013;-0.06079664570230608;0.3544952681388013;-0.01560763888888889;18.066627916899833;12.161203811411578;-39.85381581546492
layer: 91;0.7418899858956276;0.5896860986547086;0.0;0.5896860986547086;0.5896860986547086;1.0;0.9253416740327736;0.5896860986547086;0.0;0.4103139013452915;0.07465832596722649;0.4103139013452915;-0.07465832596722649;0.4103139013452915;-0.0190625;17.198201433091388;11.269217523061364;-41.022346342558876
layer: 92;0.7591436217662801;0.6117900790797987;0.0;0.6117900790797987;0.6117900790797987;1.0;0.9260729687179137;0.6117900790797987;0.0;0.3882099209202013;0.07392703128208639;0.3882099209202013;-0.07392703128208639;0.3882099209202013;-0.01875;17.269987279362624;11.31196733592761;-41.008304654511456
layer: 93;0.8015107007973143;0.6687675070028011;0.0;0.6687675070028011;0.6687675070028011;1.0;0.9346820410136022;0.6687675070028011;0.0;0.33123249299719887;0.06531795898639785;0.33123249299719887;-0.06531795898639785;0.33123249299719887;-0.01642361111111111;17.845313470214194;11.849673942781987;-40.35637528054202
layer: 94;0.8776923076923077;0.7820424948594928;0.0;0.7820424948594928;0.7820424948594928;1.0;0.9557103064066852;0.7820424948594928;0.0;0.21795750514050719;0.04428969359331476;0.21795750514050719;-0.04428969359331476;0.21795750514050719;-0.011041666666666667;19.569653677747983;13.536973242578675;-38.11463104648273
layer: 95;0.9361170592433976;0.8799060717879906;0.0;0.8799060717879906;0.8799060717879906;1.0;0.9748754298547266;0.8799060717879906;0.0;0.1200939282120094;0.02512457014527335;0.1200939282120094;-0.02512457014527335;0.1200939282120094;-0.006215277777777778;22.065394567793376;15.999013598254955;-34.810682836618426
layer: 96;0.9199500802282047;0.8517662594915814;0.0;0.8517662594915814;0.8517662594915814;1.0;0.9680495267914324;0.8517662594915814;0.0;0.14823374050841862;0.031950473208567566;0.14823374050841862;-0.031950473208567566;0.14823374050841862;-0.007795138888888889;21.08176142419889;14.955227052568238;-35.96370068803935
layer: 97;0.9387061911378725;0.9915198956294846;0.12100456621004566;0.8844922897876055;0.9915198956294846;0.9660131916452913;0.9716063510227435;0.8844922897876055;0.033986808354708686;0.008480104370515329;0.028393648977256474;0.11252446183953033;0.02467458160492061;0.11252446183953033;0.005989583333333334;21.61631976660097;15.46778791029874;-35.53603248878573
