;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 87;0.8789189189189189;0.7839922854387656;0.0;0.7839922854387656;0.7839922854387656;1.0;0.9701850126447491;0.7839922854387656;0.0;0.21600771456123433;0.0298149873552509;0.21600771456123433;-0.0298149873552509;0.21600771456123433;-0.0077777777777777776;21.091444694250683;15.255653705055947;-36.57964606058892
layer: 88;0.8296614723267061;0.7089072543617998;0.0;0.7089072543617998;0.7089072543617998;1.0;0.9575806235782149;0.7089072543617998;0.0;0.2910927456382002;0.042419376421785095;0.2910927456382002;-0.042419376421785095;0.2910927456382002;-0.011006944444444444;19.583332255414795;13.724357200384175;-38.4148543816243
layer: 89;0.7300053676865271;0.5748098055790364;0.0;0.5748098055790364;0.5748098055790364;1.0;0.9323561054330285;0.5748098055790364;0.0;0.4251901944209637;0.0676438945669715;0.4251901944209637;-0.0676438945669715;0.4251901944209637;-0.017465277777777777;17.578245027033034;11.697713960439335;-40.803961727464255
layer: 90;0.7845674574646537;0.6455047318611987;0.0;0.6455047318611987;0.6455047318611987;1.0;0.939203354297694;0.6455047318611987;0.0;0.3544952681388013;0.06079664570230608;0.3544952681388013;-0.06079664570230608;0.3544952681388013;-0.01560763888888889;18.066627916899833;12.161203811411578;-39.85381581546492
layer: 91;0.7418899858956276;0.5896860986547086;0.0;0.5896860986547086;0.5896860986547086;1.0;0.9253416740327736;0.5896860986547086;0.0;0.4103139013452915;0.07465832596722649;0.4103139013452915;-0.07465832596722649;0.4103139013452915;-0.0190625;17.198201433091388;11.269217523061364;-41.022346342558876
layer: 92;0.727355901189387;0.5715312724658519;0.0;0.5715312724658519;0.5715312724658519;1.0;0.9184064617701417;0.5715312724658519;0.0;0.4284687275341481;0.0815935382298583;0.4284687275341481;-0.0815935382298583;0.4284687275341481;-0.020694444444444446;16.841462280189944;10.883442336754932;-41.561319281159264
layer: 93;0.7158273381294964;0.5574229691876751;0.0;0.5574229691876751;0.5574229691876751;1.0;0.9127252641027411;0.5574229691876751;0.0;0.4425770308123249;0.08727473589725886;0.4425770308123249;-0.08727473589725886;0.4425770308123249;-0.021944444444444444;16.58675409476846;10.591114567336252;-41.95877917154091
layer: 94;0.38829052747859705;0.2409184372858122;0.0;0.2409184372858122;0.2409184372858122;1.0;0.8457520891364902;0.2409184372858122;0.0;0.7590815627141878;0.15424791086350975;0.7590815627141878;-0.15424791086350975;0.7590815627141878;-0.03845486111111111;14.150487528641236;8.117807093471932;-45.13730517846856
layer: 95;0.5061388123277374;0.33881247903388123;0.0;0.33881247903388123;0.33881247903388123;1.0;0.861674503473928;0.33881247903388123;0.0;0.6611875209661188;0.138325496526072;0.6611875209661188;-0.138325496526072;0.6611875209661188;-0.03421875;14.657358591437688;8.590977621899265;-44.18142326457467
layer: 96;0.5527950310559007;0.38197424892703863;0.0;0.38197424892703863;0.38197424892703863;1.0;0.8667900092506938;0.38197424892703863;0.0;0.6180257510729614;0.1332099907493062;0.6180257510729614;-0.1332099907493062;0.6180257510729614;-0.0325;14.881166390211256;8.754632018580606;-43.633606965265905
layer: 97;0.550354609929078;0.3796477495107632;0.0;0.3796477495107632;0.3796477495107632;1.0;0.8639679588041768;0.3796477495107632;0.0;0.6203522504892368;0.1360320411958232;0.6203522504892368;-0.1360320411958232;0.6203522504892368;-0.03302083333333333;14.81211970821817;8.663587851915938;-43.49823941979254
layer: 98;0.7697784810126582;0.6257234726688103;0.0;0.6257234726688103;0.6257234726688103;1.0;0.9158473105841527;0.6257234726688103;0.0;0.3742765273311897;0.0841526894158473;0.3742765273311897;-0.0841526894158473;0.3742765273311897;-0.02020833333333333;16.944695031093424;10.749319999519964;-40.67178882221569
layer: 99;0.8269158878504673;0.7049075844486934;0.0;0.7049075844486934;0.7049075844486934;1.0;0.9322207583077148;0.7049075844486934;0.0;0.29509241555130655;0.06777924169228516;0.29509241555130655;-0.06777924169228516;0.29509241555130655;-0.01607638888888889;17.938114967412776;11.68903294316852;-39.18999108737205
layer: 100;0.8339524517087668;0.7151959222682382;0.0;0.7151959222682382;0.7151959222682382;1.0;0.9337483325922632;0.7151959222682382;0.0;0.2848040777317617;0.06625166740773678;0.2848040777317617;-0.06625166740773678;0.2848040777317617;-0.015520833333333333;18.090849646272943;11.788031870233581;-38.70564584336972
layer: 101;0.87563822027717;0.7790395846852693;0.0003244646333549643;0.7787868958806358;0.7790395846852693;0.9999024960998439;0.9488678962363173;0.7787868958806358;9.750390015600624e-05;0.2209604153147307;0.05113210376368271;0.22063595068137573;-0.05098215624531414;0.22063595068137573;-0.011805555555555555;19.26638108766733;12.913063384261552;-37.07095224216433
layer: 102;0.889945155393053;0.8017127799736495;0.0;0.8017127799736495;0.8017127799736495;1.0;0.9542274939172749;0.8017127799736495;0.0;0.19828722002635046;0.04577250608272506;0.19828722002635046;-0.04577250608272506;0.19828722002635046;-0.010451388888888889;19.808259921653875;13.393953089381505;-36.479684548066935
layer: 103;0.8075722092115535;0.6772504091653028;0.0;0.6772504091653028;0.6772504091653028;1.0;0.9240545328506509;0.6772504091653028;0.0;0.32274959083469723;0.07594546714934915;0.32274959083469723;-0.07594546714934915;0.32274959083469723;-0.017118055555555556;17.66545568482001;11.194981421536912;-39.06816446711707
layer: 104;0.7829534192269574;0.6433224755700325;0.0;0.6433224755700325;0.6433224755700325;1.0;0.9143929325306857;0.6433224755700325;0.0;0.3566775244299674;0.08560706746931436;0.3566775244299674;-0.08560706746931436;0.3566775244299674;-0.019010416666666665;17.21008364247075;10.674903797595064;-39.51984215269968
layer: 105;0.7626537608388788;0.6163624511082139;0.0;0.6163624511082139;0.6163624511082139;1.0;0.9063420068433198;0.6163624511082139;0.0;0.3836375488917862;0.09365799315668019;0.3836375488917862;-0.09365799315668019;0.3836375488917862;-0.020434027777777777;16.896460205797773;10.284551522374471;-39.842790952371224
layer: 106;0.7261040845946506;0.5699869791666666;0.0;0.5699869791666666;0.5699869791666666;1.0;0.89271501664907;0.5699869791666666;0.0;0.4300130208333333;0.10728498335092991;0.4300130208333333;-0.10728498335092991;0.4300130208333333;-0.02293402777777778;16.39519665808685;9.69461061857191;-40.38713790505771
layer: 107;0.801174168297456;0.6682990532158015;0.0;0.6682990532158015;0.6682990532158015;1.0;0.9155935864418044;0.6682990532158015;0.0;0.3317009467841985;0.08440641355819556;0.3317009467841985;-0.08440641355819556;0.3317009467841985;-0.017638888888888888;17.535287754753117;10.736245525792171;-38.951265958845255
layer: 108;0.7976071784646062;0.6633499170812603;0.0;0.6633499170812603;0.6633499170812603;1.0;0.9137931034482759;0.6633499170812603;0.0;0.33665008291873966;0.08620689655172414;0.33665008291873966;-0.08620689655172414;0.33665008291873966;-0.017621527777777778;17.539564411739804;10.644579892269183;-38.923717509701135
