;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;TP;TN;FP;FN;MAPE2;Rerr2;PSNR;PSNR3;PSNR2;brain ID;slice ID;alg;params;time(ms);gtArea;error
0;0.07476635514018691;0.04819277108433735;0.24096385542168675;0.038834951456310676;0.04819277108433735;0.996694214876033;0.9838578183596934;0.038834951456310676;0.003305785123966942;0.9518072289156626;0.01614218164030654;0.7108433734939759;-0.009620088048263493;4.0;6030.0;20.0;79.0;0.7108433734939759;-0.0010243055555555556;27.64787288825662;-18.703044891357422;17.92037770089943;0;31;enhanced div;{};28.0783;83;
1;0.1552511415525114;0.0845771144278607;0.004975124378109453;0.08415841584158416;0.0845771144278607;0.999840840362884;0.9714682294879704;0.08415841584158416;0.0001591596371160274;0.9154228855721394;0.02853177051202961;0.9104477611940298;-0.02822331893892659;17.0;6282.0;1.0;184.0;0.9104477611940298;-0.0031770833333333334;24.932507550201983;-21.780832290649414;15.446712777734636;0;32;enhanced div;{};37.6486;201;
2;0.0;0.0;0.07251908396946564;0.0;0.0;0.9971233913701741;0.9590796563273627;0.0;0.0028766086298258895;1.0;0.04092034367263725;0.9274809160305344;-0.035386631716906945;0.0;6586.0;19.0;262.0;0.9274809160305344;-0.00421875;23.11716163518132;-23.90041160583496;13.880607274891254;0;33;enhanced div;{};14.9627;262;
3;0.0;0.0;0.03322259136212625;0.0;0.0;0.9985555395059945;0.9569490586932448;0.0;0.001444460494005489;1.0;0.04305094130675526;0.9667774086378738;-0.04028239202657807;0.0;6913.0;10.0;301.0;0.9667774086378738;-0.005052083333333333;22.676620943963744;-24.41958236694336;13.66017348278612;0;34;enhanced div;{};12.9471;301;
4;0.5776173285198556;0.4610951008645533;0.13544668587896252;0.40609137055837563;0.4610951008645533;0.9934713154604806;0.9689901934799894;0.40609137055837563;0.006528684539519378;0.5389048991354467;0.0310098065200106;0.4034582132564842;-0.01855287569573284;160.0;7152.0;47.0;187.0;0.4034582132564842;-0.0024305555555555556;23.912066260130693;-22.62526512145996;15.08500943454834;0;35;enhanced div;{};15.8602;347;
5;0.02696629213483146;0.01366742596810934;0.0;0.01366742596810934;0.01366742596810934;1.0;0.9449249554820657;0.01366742596810934;0.0;0.9863325740318907;0.055075044517934366;0.9863325740318907;-0.055075044517934366;6.0;7423.0;0.0;433.0;0.9863325740318907;-0.007517361111111111;21.239345870698468;-26.14013671875;12.59045143130705;0;36;enhanced div;{};31.5641;439;
6;0.7408993576017131;0.6577946768060836;0.11787072243346007;0.5884353741496599;0.6577946768060836;0.9919344347599844;0.9705345184463655;0.5884353741496599;0.00806556524001561;0.34220532319391633;0.02946548155363448;0.22433460076045628;-0.014367466212102763;346.0;7625.0;62.0;180.0;0.22433460076045628;-0.0020486111111111113;23.766071174427807;-23.081541061401367;15.306864568468828;0;37;enhanced div;{};23.8332;526;
7;0.49104859335038364;0.32653061224489793;0.003401360544217687;0.3254237288135593;0.32653061224489793;0.9997473471450228;0.9531984948259643;0.3254237288135593;0.00025265285497726126;0.673469387755102;0.04680150517403575;0.6700680272108843;-0.04633113828786453;192.0;7914.0;2.0;396.0;0.6700680272108843;-0.006840277777777778;21.605394113495244;-25.972070693969727;13.297401794415524;0;38;enhanced div;{};17.6409;588;
8;0.8633496846531185;0.9731437598736177;0.2812006319115324;0.7595561035758323;0.9731437598736177;0.9782342871117633;0.9778685733741913;0.7595561035758323;0.021765712888236734;0.026856240126382307;0.022131426625808647;0.25434439178515006;0.018272613778231757;616.0;8000.0;178.0;17.0;0.25434439178515006;0.0027951388888888887;24.70387872060694;-21.107213973999023;16.549905898799445;0;39;enhanced div;{};25.3772;633;
9;0.2997211895910781;0.9907834101382489;4.620583717357911;0.17627767149494397;0.9907834101382489;0.6461176470588236;0.6706370888427494;0.17627767149494397;0.3538823529411765;0.009216589861751152;0.3293629111572506;4.61136712749616;0.32805157906239757;645.0;5492.0;3008.0;6.0;4.61136712749616;0.052118055555555556;12.812792354445989;-33.04866027832031;4.823253073721733;0;40;enhanced div;{};77.3462;651;
10;0.6997389033942559;0.5381526104417671;0.0;0.5381526104417671;0.5381526104417671;1.0;0.9637528892624501;0.5381526104417671;0.0;0.46184738955823296;0.0362471107375499;0.46184738955823296;-0.0362471107375499;402.0;8771.0;0.0;345.0;0.46184738955823296;-0.005989583333333334;22.22603388349938;-24.25247573852539;14.407266053894645;0;41;enhanced div;{};13.45;747;
11;0.504263786242183;0.9366420274551215;1.778247096092925;0.3371341695172938;0.9366420274551215;0.8105949836913733;0.822728196787965;0.3371341695172938;0.1894050163086267;0.06335797254487856;0.17727180321203498;1.7148891235480466;0.1650742020735922;887.0;7207.0;1684.0;60.0;1.7148891235480466;0.028194444444444446;15.188760028266637;-31.03640365600586;7.513603376267641;0;42;enhanced div;{};55.513;947;
12;0.48931466470154755;0.32390243902439025;0.0;0.32390243902439025;0.32390243902439025;1.0;0.9316770186335404;0.32390243902439025;0.0;0.6760975609756098;0.06832298136645963;0.6760975609756098;-0.06832298136645963;332.0;9118.0;0.0;693.0;0.6760975609756098;-0.01203125;19.196892488114052;-28.30972671508789;11.654331908736246;0;43;enhanced div;{};28.0035;1025;
13;0.7217787913340935;0.5646743978590544;0.0;0.5646743978590544;0.5646743978590544;1.0;0.9530904546765356;0.5646743978590544;0.0;0.43532560214094557;0.046909545323464384;0.43532560214094557;-0.046909545323464384;633.0;9282.0;0.0;488.0;0.43532560214094557;-0.008472222222222223;20.720026614205015;-26.229007720947266;13.287387764851042;0;44;enhanced div;{};39.2297;1121;
14;0.7456521739130435;0.5944540727902946;0.0;0.5944540727902946;0.5944540727902946;1.0;0.9562125748502994;0.5944540727902946;0.0;0.4055459272097054;0.0437874251497006;0.4055459272097054;-0.0437874251497006;686.0;9534.0;0.0;468.0;0.4055459272097054;-0.008125;20.90176630349088;-25.950347900390625;13.586505920573464;0;45;enhanced div;{};30.399;1154;
15;0.5439127801332526;0.3735440931780366;0.0;0.3735440931780366;0.3735440931780366;1.0;0.9319291267401917;0.3735440931780366;0.0;0.6264559068219634;0.06807087325980836;0.6264559068219634;-0.06807087325980836;449.0;9860.0;0.0;753.0;0.6264559068219634;-0.013072916666666667;18.836275072225114;-28.666505813598633;11.670386779324462;0;46;enhanced div;{};28.992;1202;
16;0.075177304964539;0.039056742815033164;0.0;0.039056742815033164;0.039056742815033164;1.0;0.8850189577638656;0.039056742815033164;0.0;0.9609432571849669;0.11498104223613438;0.9609432571849669;-0.11498104223613438;53.0;9984.0;0.0;1304.0;0.9609432571849669;-0.02263888888888889;16.451448920273105;-31.807987213134766;9.393737590458402;0;47;enhanced div;{};14.852;1357;
17;0.5662179765523231;0.3953911461491813;0.001212856276531231;0.3949121744397335;0.3953911461491813;0.99979973966156;0.9141457545548298;0.3949121744397335;0.00020026033843997197;0.6046088538508186;0.08585424544517016;0.6033959975742874;-0.08551048470264695;652.0;9985.0;2.0;997.0;0.6033959975742874;-0.017274305555555557;17.608569951972296;-29.372346878051758;10.662382243490393;0;48;enhanced div;{};39.8849;1649;
18;0.4475029492725128;0.28824721377912865;0.0;0.28824721377912865;0.28824721377912865;1.0;0.8834218386989712;0.28824721377912865;0.0;0.7117527862208713;0.11657816130102887;0.7117527862208713;-0.11657816130102887;569.0;10078.0;0.0;1405.0;0.7117527862208713;-0.02439236111111111;16.12746159182113;-31.594528198242188;9.33382798760221;0;49;enhanced div;{};26.4862;1974;
19;0.7552636662159552;0.8988505747126436;0.48137931034482756;0.6067659838609559;0.8988505747126436;0.9003521461882554;0.9000946222993219;0.6067659838609559;0.09964785381174456;0.10114942528735632;0.09990537770067813;0.38022988505747124;0.06521053461599118;1955.0;9460.0;1047.0;220.0;0.38022988505747124;0.014357638888888889;16.576458685397707;-29.66864585876465;10.004111339675013;0;50;enhanced div;{};95.4894;2175;
20;0.8004251926654266;0.6723214285714286;0.007589285714285714;0.667257421355782;0.6723214285714286;0.9984487635733187;0.9431017501325858;0.667257421355782;0.0015512364266812666;0.32767857142857143;0.0568982498674142;0.3200892857142857;-0.05432229714372301;1506.0;10942.0;17.0;734.0;0.3200892857142857;-0.012447916666666666;18.847825464190436;-27.487220764160156;12.44901091858251;0;51;enhanced div;{};56.2903;2240;
21;0.7863247863247863;0.6520618556701031;0.006443298969072165;0.647887323943662;0.6520618556701031;0.9986646488026351;0.9391637784824128;0.647887323943662;0.001335351197364907;0.3479381443298969;0.0608362215175872;0.34149484536082475;-0.058623995280584026;1518.0;11218.0;15.0;810.0;0.34149484536082475;-0.013802083333333333;18.43968534873287;-27.94539451599121;12.158377674168776;0;52;enhanced div;{};38.5559;2328;
22;0.8248997517662784;0.8487229862475442;0.20903732809430256;0.7019824504387391;0.8487229862475442;0.9532923617208078;0.934194474345174;0.7019824504387391;0.046707638279192276;0.1512770137524558;0.06580552565482597;0.05776031434184676;0.01054897739504844;2160.0;10858.0;532.0;385.0;0.05776031434184676;0.0025520833333333333;17.98053147753191;-28.559833526611328;11.81737637379302;0;53;enhanced div;{};105.2746;2545;
23;0.8366344477895737;0.9233997901364114;0.2840153899965023;0.7191500953418687;0.9233997901364114;0.9286279335501451;0.9275779713402641;0.7191500953418687;0.07137206644985497;0.07660020986358866;0.07242202865973588;0.2074151801329136;0.0416549592582186;2640.0;10565.0;812.0;219.0;0.2074151801329136;0.010295138888888888;17.471638181396955;-29.010181427001953;11.401293140482917;0;54;enhanced div;{};139.627;2859;
24;0.6809534222610978;0.5203877005347594;0.008021390374331552;0.5162466843501327;0.5203877005347594;0.9979161239906226;0.8994417258253498;0.5162466843501327;0.002083876009377442;0.47961229946524064;0.10055827417465021;0.4715909090909091;-0.0972499827693156;1557.0;11493.0;24.0;1435.0;0.4715909090909091;-0.024496527777777777;15.963671915297603;-31.45672607421875;9.975821888111389;0;55;enhanced div;{};64.4447;2992;
25;0.7978682908260373;0.6827361563517915;0.028664495114006514;0.6637112096263458;0.6827361563517915;0.992465108314068;0.927995118313106;0.6637112096263458;0.0075348916859320145;0.3172638436482085;0.07200488168689402;0.28859934853420194;-0.060071869279273174;2096.0;11591.0;88.0;974.0;0.28859934853420194;-0.015381944444444445;17.34297966677762;-29.675090789794922;11.426380588769067;0;56;enhanced div;{};74.591;3070;
26;0.7643461288223813;0.9359464627151052;0.5130656469088591;0.6185762426284751;0.9359464627151052;0.8646034816247582;0.8794996340408543;0.6185762426284751;0.13539651837524178;0.06405353728489484;0.12050036595914565;0.4490121096239643;0.09375207931332756;2937.0;10281.0;1610.0;201.0;0.4490121096239643;0.024461805555555556;15.025040331091537;-31.502391815185547;9.190116341364472;0;57;enhanced div;{};114.7836;3138;
27;0.8302479916171848;0.7264669926650367;0.023533007334963326;0.709764108689161;0.7264669926650367;0.9935763744056061;0.9362998885903401;0.709764108689161;0.006423625594393927;0.27353300733496333;0.06370011140965988;0.25;-0.05360770692705944;2377.0;11910.0;77.0;895.0;0.25;-0.014201388888888888;17.727562184969376;-29.039573669433594;11.95859808095447;0;58;enhanced div;{};41.3137;3272;
28;0.7570602245661789;0.6105927552140505;0.002469813391877058;0.6090884204763208;0.6105927552140505;0.9992408906882592;0.9078709677419354;0.6090884204763208;0.0007591093117408907;0.3894072447859495;0.09212903225806451;0.38693743139407244;-0.09096774193548388;2225.0;11847.0;9.0;1419.0;0.38693743139407244;-0.024479166666666666;16.056942759830562;-31.034725189208984;10.356034907301359;0;59;enhanced div;{};46.689;3644;
29;0.8025068786303883;0.6720430107526881;0.0028161802355350742;0.6701557314271126;0.6720430107526881;0.999067005937235;0.9176860346585117;0.6701557314271126;0.0009329940627650551;0.3279569892473118;0.08231396534148827;0.3251408090117768;-0.08091233435270133;2625.0;11779.0;11.0;1281.0;0.3251408090117768;-0.022048611111111113;16.49159969764147;-30.392000198364258;10.845264763768082;0;60;enhanced div;{};104.362;3906;
30;0.7977337110481586;0.6922320550639135;0.043264503441494594;0.6635249764373233;0.6922320550639135;0.9851313677452057;0.9102169129204652;0.6635249764373233;0.01486863225479429;0.3077679449360865;0.08978308707953474;0.26450344149459193;-0.06765168186104999;2816.0;11661.0;176.0;1252.0;0.26450344149459193;-0.018680555555555554;16.056942759830562;-31.04438591003418;10.468054660032266;0;61;enhanced div;{};66.824;4068;
31;0.7890381223714557;0.694696607740086;0.0661729574773053;0.6515796549406229;0.694696607740086;0.9767987268615462;0.9035658914728683;0.6515796549406229;0.023201273138453805;0.305303392259914;0.09643410852713179;0.2391304347826087;-0.06207751937984496;2908.0;11662.0;277.0;1278.0;0.2391304347826087;-0.017378472222222222;15.686920900603559;-31.67675018310547;10.15769329944449;0;62;enhanced div;{};47.3382;4186;
32;0.7715528963829209;0.6628504672897196;0.05537383177570093;0.6280717290236882;0.6628504672897196;0.9803074366431243;0.8970272755133313;0.6280717290236882;0.01969256335687578;0.33714953271028036;0.1029727244866687;0.28177570093457943;-0.07391970579221575;2837.0;11798.0;237.0;1443.0;0.28177570093457943;-0.0209375;15.351132016973493;-31.89182472229004;9.872777963980308;0;63;enhanced div;{};40.0303;4280;
33;0.7601092185671564;0.6370967741935484;0.03923278116826504;0.6130453020134228;0.6370967741935484;0.9849018621036739;0.8882495457298607;0.6130453020134228;0.01509813789632612;0.3629032258064516;0.11175045427013931;0.32367044463818656;-0.08994548758328286;2923.0;11742.0;180.0;1665.0;0.32367044463818656;-0.02578125;14.94426112928133;-31.98869514465332;9.517507027677144;0;64;enhanced div;{};42.0098;4588;
34;0.8472409757853993;0.9713106295149638;0.3215686274509804;0.7349679837576136;0.9713106295149638;0.8688110474907377;0.8985108546139585;0.7349679837576136;0.13118895250926238;0.02868937048503612;0.10148914538604151;0.29287925696594425;0.08486334549369057;4706.0;10318.0;1558.0;139.0;0.29287925696594425;0.024635416666666667;15.307406411055362;-30.995378494262695;9.935804045589549;0;65;enhanced div;{};83.777;4845;
35;0.8229037003507977;0.7228628230616302;0.03399602385685885;0.6990963276293021;0.7228628230616302;0.9855781394956565;0.9073251613667318;0.6990963276293021;0.014421860504343426;0.27713717693836976;0.0926748386332682;0.24314115308151094;-0.07242257357730798;3636.0;11686.0;171.0;1394.0;0.24314115308151094;-0.021232638888888888;15.659081415407448;-31.327499389648438;10.330381614973973;0;66;enhanced div;{};47.3677;5030;
36;0.855170902716915;0.7731774960380349;0.03506339144215531;0.7469856459330143;0.7731774960380349;0.9852598267821452;0.9224906191369606;0.7469856459330143;0.014740173217854764;0.22682250396196513;0.0775093808630394;0.19175911251980982;-0.05675422138836773;3903.0;11831.0;177.0;1145.0;0.19175911251980982;-0.016805555555555556;16.391910282735907;-30.6796817779541;11.106457321968568;0;67;enhanced div;{};79.7163;5048;
37;0.8828504969338127;0.8283730158730159;0.048214285714285716;0.7902706795381412;0.8283730158730159;0.9800263028111129;0.935603859118912;0.7902706795381412;0.01997369718888706;0.17162698412698413;0.064396140881088;0.12341269841269842;-0.036150180169708244;4175.0;11923.0;243.0;865.0;0.12341269841269842;-0.010798611111111111;17.158827230308013;-29.866411209106445;11.911401581722812;0;68;enhanced div;{};108.2697;5040;
