;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;MAPE2;Rerr2;PSNR;PSNR2;PSNR3
layer: 91;0.7418899858956276;0.5896860986547086;0.0;0.5896860986547086;0.5896860986547086;1.0;0.9253416740327736;0.5896860986547086;0.0;0.4103139013452915;0.07465832596722649;0.4103139013452915;-0.07465832596722649;0.4103139013452915;-0.0190625;17.198201433091388;11.269217523061364;-41.022346342558876
layer: 92;0.727355901189387;0.5715312724658519;0.0;0.5715312724658519;0.5715312724658519;1.0;0.9184064617701417;0.5715312724658519;0.0;0.4284687275341481;0.0815935382298583;0.4284687275341481;-0.0815935382298583;0.4284687275341481;-0.020694444444444446;16.841462280189944;10.883442336754932;-41.561319281159264
layer: 93;0.7158273381294964;0.5574229691876751;0.0;0.5574229691876751;0.5574229691876751;1.0;0.9127252641027411;0.5574229691876751;0.0;0.4425770308123249;0.08727473589725886;0.4425770308123249;-0.08727473589725886;0.4425770308123249;-0.021944444444444444;16.58675409476846;10.591114567336252;-41.95877917154091
layer: 94;0.38829052747859705;0.2409184372858122;0.0;0.2409184372858122;0.2409184372858122;1.0;0.8457520891364902;0.2409184372858122;0.0;0.7590815627141878;0.15424791086350975;0.7590815627141878;-0.15424791086350975;0.7590815627141878;-0.03845486111111111;14.150487528641236;8.117807093471932;-45.13730517846856
layer: 95;0.5061388123277374;0.33881247903388123;0.0;0.33881247903388123;0.33881247903388123;1.0;0.861674503473928;0.33881247903388123;0.0;0.6611875209661188;0.138325496526072;0.6611875209661188;-0.138325496526072;0.6611875209661188;-0.03421875;14.657358591437688;8.590977621899265;-44.18142326457467
layer: 96;0.5891942244993014;0.41762958071970946;0.0;0.41762958071970946;0.41762958071970946;1.0;0.8744752010246922;0.41762958071970946;0.0;0.5823704192802905;0.12552479897530777;0.5823704192802905;-0.12552479897530777;0.5823704192802905;-0.030625;15.139239026274112;9.012704654643462;-43.29568737689898
layer: 97;0.550354609929078;0.3796477495107632;0.0;0.3796477495107632;0.3796477495107632;1.0;0.8639679588041768;0.3796477495107632;0.0;0.6203522504892368;0.1360320411958232;0.6203522504892368;-0.1360320411958232;0.6203522504892368;-0.03302083333333333;14.81211970821817;8.663587851915938;-43.49823941979254
layer: 98;0.7697784810126582;0.6257234726688103;0.0;0.6257234726688103;0.6257234726688103;1.0;0.9158473105841527;0.6257234726688103;0.0;0.3742765273311897;0.0841526894158473;0.3742765273311897;-0.0841526894158473;0.3742765273311897;-0.02020833333333333;16.944695031093424;10.749319999519964;-40.67178882221569
layer: 99;0.8269158878504673;0.7049075844486934;0.0;0.7049075844486934;0.7049075844486934;1.0;0.9322207583077148;0.7049075844486934;0.0;0.29509241555130655;0.06777924169228516;0.29509241555130655;-0.06777924169228516;0.29509241555130655;-0.01607638888888889;17.938114967412776;11.68903294316852;-39.18999108737205
layer: 100;0.8339524517087668;0.7151959222682382;0.0;0.7151959222682382;0.7151959222682382;1.0;0.9337483325922632;0.7151959222682382;0.0;0.2848040777317617;0.06625166740773678;0.2848040777317617;-0.06625166740773678;0.2848040777317617;-0.015520833333333333;18.090849646272943;11.788031870233581;-38.70564584336972
